timestamp,epoch_time,image_filename,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,gps_utc,gps_lat,gps_ns,gps_lon,gps_ew,gps_speed_kn,gps_course_deg,gps_valid
2025-11-01_15-50-48-787,1761992448.7880664,images/image_2025-11-01_15-50-48-787_0093.jpg,-0.136,0.2275,1.0483,-27.0,-13.16,-30.443,102048.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-49-517,1761992449.5180173,images/image_2025-11-01_15-50-49-517_0094.jpg,-0.1824,-0.0061,1.2539,-2.534,12.733,11.802,102049.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-50-103,1761992450.1035106,images/image_2025-11-01_15-50-50-103_0095.jpg,0.0222,0.2881,0.9482,-11.206,24.45,-3.443,102050.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-51-446,1761992451.4461594,images/image_2025-11-01_15-50-51-446_0096.jpg,-0.0154,0.2488,1.1123,-24.809,-20.855,3.916,102051.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-52-065,1761992452.0658758,images/image_2025-11-01_15-50-52-065_0097.jpg,-0.0376,0.1736,0.9517,-14.099,10.031,26.679,102052.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-52-500,1761992452.5007894,images/image_2025-11-01_15-50-52-500_0098.jpg,0.1011,0.1497,0.9709,2.595,-6.802,-26.053,102052.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-52-917,1761992452.9172935,images/image_2025-11-01_15-50-52-917_0099.jpg,-0.1013,0.2053,1.0544,-17.076,8.244,8.901,102052.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-53-364,1761992453.3647385,images/image_2025-11-01_15-50-53-364_0100.jpg,-0.0093,0.0815,0.958,-5.0,15.229,9.931,102053.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-53-794,1761992453.794227,images/image_2025-11-01_15-50-53-794_0101.jpg,-0.1165,0.2415,1.0779,-1.908,32.038,14.954,102053.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-54-222,1761992454.222535,images/image_2025-11-01_15-50-54-222_0102.jpg,0.0889,0.1833,0.9683,17.481,15.74,15.313,102054.00,N/A,N/A,N/A,N/A,N/A,N/A,V
